source_term,target_term,category,status,first_chunk,notes
Kehjistan,卡基斯坦,place,approved,,Official Blizzard zh-TW terminology reused from Legacy of Blood.
Twin Seas,雙子海,place,approved,,Approved series rendering reused from Legacy of Blood.
Vizjerei,費斯傑利,organization,approved,,Current official Blizzard zh-TW terminology.
Bartuc,霸圖克,character,approved,,Current official Blizzard zh-TW terminology.
Warlord of Blood,鮮血魔將,title,approved,,Approved series rendering reused from Legacy of Blood.
Prime Evils,三大罪惡之源,collective,approved,,Official Blizzard zh-TW terminology.
Mephisto,墨菲斯托,character,approved,,Official Blizzard zh-TW terminology.
Baal,巴爾,character,approved,,Official Blizzard zh-TW terminology.
Diablo,迪亞布羅,character,approved,,Official Blizzard zh-TW character name.
Rathma,拉斯瑪,character,approved,,Official Blizzard zh-TW terminology.
necromancer,死靈法師,class,approved,,Official Blizzard zh-TW terminology.
Westmarch,衛斯馬屈,place,approved,,Official Blizzard zh-TW terminology; not the same as Western Kingdoms.
Zakarum,撒卡蘭姆,organization,approved,,Official Blizzard zh-TW terminology.
Trag’Oul,塔格奧,character,approved,,Current official Blizzard zh-TW terminology; curly-apostrophe source form.
Den’Trag,丹‧塔格,spell,approved,,Approved series spell rendering; curly-apostrophe source form.
Teeth of the Dragon Trag’Oul,巨龍塔格奧之牙,spell,approved,,Full Den’Trag spell title; keep distinct from Talons of Trag’Oul.
Ureh,,place,provisional,,Lost holy city and principal setting; establish one consistent Taiwan form.
Nymyr,,place,provisional,,Mountain overlooking Ureh.
Western Kingdoms,,place,provisional,,Distinct from Westmarch.
Balance,,concept,provisional,,Rathmian doctrine; translate consistently by context.
Talon of Trag’Oul,,spell,provisional,,Bone-lance spell; distinct from Den’Trag.
Talons of Trag’Oul,,spell,provisional,,Plural/alias form of Talon of Trag’Oul.
